event_id,event_title,event_summary,main_tag,main_tags,keywords,key_phrases,start_date,end_date,discussion_count,message_count,chat_count,author_count,negative_count,toxic_count,negative_share,toxic_share,importance_score,status,is_hidden
e_01114,Общее обсуждение Яндекса,"Тема «яндекс» обсуждалась с 21.04.2026 06:50 по 21.04.2026 06:50. Внутри: 1 сообщений, 1 чатов, 1 участников. Ключевые сигналы: эпл, нас, наверное, конторы, вносят.",яндекс,яндекс,эпл|нас|наверное|конторы|вносят|проверке|парка,,2026-04-21 06:50:00,2026-04-21 06:50:00,1,1,1,1,0,0,0.0,0.0,5.17,новый,False
e_01125,Общее обсуждение Яндекса,"Тема «яндекс» обсуждалась с 21.04.2026 08:03 по 21.04.2026 08:03. Внутри: 1 сообщений, 1 чатов, 1 участников. Ключевые сигналы: фастона, включена, платка, оплату, отличие.",яндекс,яндекс,фастона|включена|платка|оплату|отличие|яши,,2026-04-21 08:03:00,2026-04-21 08:03:00,1,1,1,1,0,0,0.0,0.0,5.17,новый,False
e_01130,Общее обсуждение Яндекса,"Тема «яндекс» обсуждалась с 21.04.2026 08:30 по 21.04.2026 08:30. Внутри: 1 сообщений, 1 чатов, 1 участников. Ключевые сигналы: щас, открыл, фастен, пгу, автовокзала.",яндекс,яндекс,щас|открыл|фастен|пгу|автовокзала|примеру|пути,,2026-04-21 08:30:00,2026-04-21 08:30:00,1,1,1,1,0,0,0.0,0.0,5.17,новый,False
e_01132,Обсуждение сервиса Фастен,"Тема «Фастен» обсуждалась с 21.04.2026 08:36 по 21.04.2026 08:36. Внутри: 1 сообщений, 1 чатов, 1 участников. Ключевые сигналы: выходит, среднем, заводе, плюс, соцпакет.",Фастен,Фастен,выходит|среднем|заводе|плюс|соцпакет|страхование|стоматология,,2026-04-21 08:36:00,2026-04-21 08:36:00,1,1,1,1,0,0,0.0,0.0,5.17,новый,False
e_01137,Общее обсуждение Яндекса,"Тема «яндекс» обсуждалась с 21.04.2026 08:52 по 21.04.2026 08:52. Внутри: 1 сообщений, 1 чатов, 1 участников. Ключевые сигналы: отложи, отпуск, противоречия, самому, заботиться.",яндекс,яндекс,отложи|отпуск|противоречия|самому|заботиться|удерживать|прочую,,2026-04-21 08:52:00,2026-04-21 08:52:00,1,1,1,1,0,0,0.0,0.0,5.17,новый,False
e_01143,Общее обсуждение Яндекса,"Тема «яндекс» обсуждалась с 21.04.2026 09:19 по 21.04.2026 09:19. Внутри: 1 сообщений, 1 чатов, 1 участников. Ключевые сигналы: месяц, кошельке, пусто, ввиду, выплаты.",яндекс,яндекс,месяц|кошельке|пусто|ввиду|выплаты|сразу|заводе,,2026-04-21 09:19:00,2026-04-21 09:19:00,1,1,1,1,0,0,0.0,0.0,5.17,новый,False
e_01144,Общее обсуждение Яндекса,"Тема «яндекс» обсуждалась с 21.04.2026 09:20 по 21.04.2026 09:20. Внутри: 1 сообщений, 1 чатов, 1 участников. Ключевые сигналы: правда, нахуя, фистинг, тогда, заказал.",яндекс,яндекс,правда|нахуя|фистинг|тогда|заказал|общая|цена,,2026-04-21 09:20:00,2026-04-21 09:20:00,1,1,1,1,0,0,0.0,0.0,5.17,новый,False
e_01149,Общее обсуждение Яндекса,"Тема «яндекс» обсуждалась с 21.04.2026 09:33 по 21.04.2026 09:33. Внутри: 1 сообщений, 1 чатов, 1 участников. Ключевые сигналы: кое, шлагбаум, пускали, номер, работает.",яндекс,яндекс,кое|шлагбаум|пускали|номер|работает|парковка|через,,2026-04-21 09:33:00,2026-04-21 09:33:00,1,1,1,1,0,0,0.0,0.0,5.17,новый,False
e_01157,Общее обсуждение Яндекса,"Тема «яндекс» обсуждалась с 21.04.2026 10:26 по 21.04.2026 10:26. Внутри: 1 сообщений, 1 чатов, 1 участников. Ключевые сигналы: какой, даст, никогда, понимал, этого.",яндекс,яндекс,какой|даст|никогда|понимал|этого|вопроса|нас,,2026-04-21 10:26:00,2026-04-21 10:26:00,1,1,1,1,0,0,0.0,0.0,5.17,новый,False
e_01165,Общее обсуждение Яндекса,"Тема «яндекс» обсуждалась с 21.04.2026 11:27 по 21.04.2026 11:27. Внутри: 1 сообщений, 1 чатов, 1 участников. Ключевые сигналы: заводе, сложней, сказки, таксистов, лучше.",яндекс,яндекс,заводе|сложней|сказки|таксистов|лучше|каждый|выбирает,,2026-04-21 11:27:00,2026-04-21 11:27:00,1,1,1,1,0,0,0.0,0.0,5.17,новый,False
e_01168,Общее обсуждение Яндекса,"Тема «яндекс» обсуждалась с 21.04.2026 11:43 по 21.04.2026 11:43. Внутри: 1 сообщений, 1 чатов, 1 участников. Ключевые сигналы: чувство, цены, уронили, смотрел, днем.",яндекс,яндекс,чувство|цены|уронили|смотрел|днем|написал|ценник,,2026-04-21 11:43:00,2026-04-21 11:43:00,1,1,1,1,0,0,0.0,0.0,5.17,новый,False
e_01176,Общее обсуждение Яндекса,"Тема «яндекс» обсуждалась с 21.04.2026 12:31 по 21.04.2026 12:31. Внутри: 1 сообщений, 1 чатов, 1 участников. Ключевые сигналы: упыри, таксист, ему, задание, остановило.",яндекс,яндекс,упыри|таксист|ему|задание|остановило|бубба|ног,,2026-04-21 12:31:00,2026-04-21 12:31:00,1,1,1,1,0,0,0.0,0.0,5.17,новый,False
e_01177,Общее обсуждение Яндекса,"Тема «яндекс» обсуждалась с 21.04.2026 12:31 по 21.04.2026 12:31. Внутри: 1 сообщений, 1 чатов, 1 участников. Ключевые сигналы: ограничение, времени, заехать, зону, плилета.",яндекс,яндекс,ограничение|времени|заехать|зону|плилета|заказа|могут,,2026-04-21 12:31:00,2026-04-21 12:31:00,1,1,1,1,0,0,0.0,0.0,5.17,новый,False
e_01179,Общее обсуждение Яндекса,"Тема «яндекс» обсуждалась с 21.04.2026 12:35 по 21.04.2026 12:35. Внутри: 1 сообщений, 1 чатов, 1 участников. Ключевые сигналы: раньше, думал, экономия, точке, больший.",яндекс,яндекс,раньше|думал|экономия|точке|больший|заработок|практике,,2026-04-21 12:35:00,2026-04-21 12:35:00,1,1,1,1,0,0,0.0,0.0,5.17,новый,False
e_01180,Общее обсуждение Яндекса,"Тема «яндекс» обсуждалась с 21.04.2026 12:37 по 21.04.2026 12:37. Внутри: 1 сообщений, 1 чатов, 1 участников. Ключевые сигналы: грубо говоря.",яндекс,яндекс,аренду|среднем|грубо|говоря|работается|честно|давай,грубо говоря,2026-04-21 12:37:00,2026-04-21 12:37:00,1,1,1,1,0,0,0.0,0.0,5.17,новый,False
e_01183,Общее обсуждение Яндекса,"Тема «яндекс» обсуждалась с 21.04.2026 13:05 по 21.04.2026 13:05. Внутри: 1 сообщений, 1 чатов, 1 участников. Ключевые сигналы: сначала, подумал, задумался, кому, берите.",яндекс,яндекс,сначала|подумал|задумался|кому|берите|подходит|отец,,2026-04-21 13:05:00,2026-04-21 13:05:00,1,1,1,1,0,0,0.0,0.0,5.17,новый,False
e_01185,Общее обсуждение Яндекса,"Тема «яндекс» обсуждалась с 21.04.2026 13:07 по 21.04.2026 13:07. Внутри: 1 сообщений, 1 чатов, 1 участников. Ключевые сигналы: сама, поездку, посчитал, цену, стандартной.",яндекс,яндекс,сама|поездку|посчитал|цену|стандартной|подачи|моя,,2026-04-21 13:07:00,2026-04-21 13:07:00,1,1,1,1,0,0,0.0,0.0,5.17,новый,False
