discussion_id,message_id,discussion_source
d_parent_b403b41f077b,m_3ed8cf769af8,parent_link_segment
d_parent_d69d77527908,m_865ff33af415,parent_link_segment
d_parent_2c87e7c3e19a,m_6d81504e8402,parent_link_segment
d_parent_c95275ac2a4b,m_628f75a9ab2a,parent_link_segment
d_parent_484e4757886f,m_a2cc92fb88a6,parent_link_segment
d_parent_430df2f9f42a,m_475bdb55a5e0,parent_link_segment
d_parent_ce4d61c5cf66,m_a0d24b9eb96c,parent_link_segment
d_parent_ce4d61c5cf66,m_da8869efc230,parent_link_segment
d_parent_e34908a4cec9,m_bbeb7a2ca00f,parent_link_segment
d_parent_9bab272f60a4,m_c2259f55e272,parent_link_segment
d_parent_9ccc1f2b936d,m_172d49aa27ae,parent_link_segment
d_parent_001c5ec17774,m_0d9678598bf5,parent_link_segment
d_parent_79b849290f59,m_50b8a0227ffe,parent_link_segment
d_parent_ae697688ecfb,m_e53b1e6f2933,parent_link_segment
d_parent_9565852cf939,m_ae86074ce306,parent_link_segment
d_parent_c94ca50b4b4e,m_c99806a2f7d7,parent_link_segment
d_parent_d678bade979d,m_9511a1af6e06,parent_link_segment
d_parent_73ccd20e73e8,m_8290f2a7e4fe,parent_link_segment
d_parent_07a0fc5c075d,m_e6b6db3bbd45,parent_link_segment
d_parent_07a0fc5c075d,m_0474ef07ab1a,parent_link_segment
d_parent_4d2d78bcf732,m_ff3b87f61eaa,parent_link_segment
d_parent_e5ed7da33d9f,m_e2ed9cc4db73,parent_link_segment
d_parent_234c87ed01ee,m_282131d9bf97,parent_link_segment
d_parent_ab303bd20b19,m_2efca03dbb33,parent_link_segment
d_parent_4190438c50b5,m_f58ef277c0f2,parent_link_segment
d_parent_a3384d8595e4,m_f14629d80e33,parent_link_segment
d_parent_b2f315b8d6ad,m_606464a759d2,parent_link_segment
d_parent_044272d8ed55,m_4106368ebd99,parent_link_segment
d_parent_873176d2b211,m_fa6ea8e40be1,parent_link_segment
d_parent_988f3aafb12c,m_ac24bfeb809c,parent_link_segment
d_parent_d20667b868dc,m_d133ba7bbcaa,parent_link_segment
d_parent_2f25a8f412e7,m_c3fae2dcf19b,parent_link_segment
d_parent_2f25a8f412e7,m_f5cf2961e759,parent_link_segment
d_parent_e71f15283358,m_794b3334f352,parent_link_segment
d_parent_66013a70044e,m_8a65e9802cdb,parent_link_segment
d_parent_dba1d0d1c239,m_5c8b29a026d5,parent_link_segment
d_parent_699a7965438b,m_ff00b9287de1,parent_link_segment
d_parent_699a7965438b,m_8ad707ad5fb1,parent_link_segment
d_parent_a7525e883036,m_7325558ca62a,parent_link_segment
d_parent_34dba4405cb9,m_ef8b98c370da,parent_link_segment
d_parent_c03b19d2a70a,m_9f6bf253e472,parent_link_segment
d_parent_419a66f0d470,m_726d72023dbc,parent_link_segment
d_parent_3ae798358ac5,m_1e124601042b,parent_link_segment
d_parent_c8253359b62c,m_f9fc243b2178,parent_link_segment
d_parent_5712ab27a1d8,m_61426210231b,parent_link_segment
d_parent_97e25ed70ae8,m_cdebde107a0c,parent_link_segment
d_parent_79dded29dfa9,m_1cf60fbc91b5,parent_link_segment
d_parent_79dded29dfa9,m_e336e9f823b5,parent_link_segment
d_parent_a5c2c39c2aa3,m_6e6f384b9bf0,parent_link_segment
d_parent_2c9017d0dfe8,m_6436d6142055,parent_link_segment
d_parent_2c9017d0dfe8,m_58789883cd0f,parent_link_segment
d_parent_265cc5f68fc2,m_11a07830ed66,parent_link_segment
d_parent_7fc5388aa26d,m_44f5a492bbb0,parent_link_segment
d_parent_9ad54172ab37,m_8f99e90dc719,parent_link_segment
d_parent_710a2d996b9b,m_34ca63df070d,parent_link_segment
d_parent_40b2b92134b3,m_3d3601e5ac60,parent_link_segment
d_parent_40b2b92134b3,m_172f3c6ef8f4,parent_link_segment
d_parent_6e0268c121a9,m_0da119547f72,parent_link_segment
d_parent_d935f8bc9773,m_f2df1315b1a8,parent_link_segment
d_parent_d935f8bc9773,m_f71102bffb34,parent_link_segment
d_parent_d935f8bc9773,m_fe0c3ff8e24b,parent_link_segment
d_parent_73c09aa94e13,m_9c856fa6b66e,parent_link_segment
d_parent_282c1b0cf798,m_bb09d282093c,parent_link_segment
d_parent_6162451cc2a6,m_5b08de3bf5ac,parent_link_segment
d_parent_6162451cc2a6,m_96769d649af6,parent_link_segment
d_parent_b05e3f583d05,m_338de0c4a74f,parent_link_segment
d_parent_23fb09df28ed,m_6ddae9fe0379,parent_link_segment
d_parent_23fb09df28ed,m_4c419d77b982,parent_link_segment
d_parent_591bec0d39f2,m_f3689da1bbfe,parent_link_segment
d_parent_7dedfd2b4d75,m_7964f6527d0e,parent_link_segment
d_parent_4bee4f832466,m_10d6e9948fbc,parent_link_segment
d_parent_4bee4f832466,m_9ec5e1b779ce,parent_link_segment
d_parent_4bee4f832466,m_b19870a23c6d,parent_link_segment
d_parent_4bee4f832466,m_6e322c73be05,parent_link_segment
d_parent_4bee4f832466,m_164eb0db2417,parent_link_segment
d_parent_4bee4f832466,m_b94c4e68d7f0,parent_link_segment
d_parent_4bee4f832466,m_54b15e12b1e5,parent_link_segment
