event_id,discussion_id
e_00224,d_parent_7e294fa03759
e_00224,d_parent_e35f2d3d964a
e_00225,d_parent_f3b5adb38018
e_00096,d_parent_b73970dc1ba3
e_00096,d_parent_4d793b628a85
e_00226,d_parent_dc25c54bda4c
e_00227,d_parent_4b5dbd286a5e
e_00075,d_parent_41add7fa37fd
e_00096,d_parent_b494de1d40d3
e_00096,d_parent_678d7668eda2
e_00228,d_parent_5831af9805fd
e_00228,d_parent_24f70ff53c37
e_00132,d_parent_3ad79243ddbc
e_00229,d_parent_24c0278a3d47
e_00229,d_parent_0cbc23a6b883
e_00001,d_parent_6e21929874cf
e_00230,d_parent_2e361053def3
e_00001,d_parent_c13f7c205644
e_00230,d_parent_7eb896a02e8f
e_00230,d_parent_c3e161a60d4f
e_00231,d_parent_352e35ca8273
e_00001,d_parent_8f7bfbd684e3
e_00230,d_parent_f848f4a40743
e_00232,d_parent_233bb237b582
e_00230,d_parent_81e5f99de2f0
e_00233,d_parent_0bc1bbcaead2
e_00001,d_parent_e1b897b1b992
e_00001,d_parent_bb15a9869a58
e_00001,d_parent_307a271ca6e7
e_00234,d_parent_93cf8bc43587
e_00236,d_parent_165346c875b8
e_00001,d_parent_defec506d32e
e_00001,d_parent_a7e4bfe9519d
e_00096,d_parent_9fff7897f0a2
e_00001,d_parent_b288415bfac9
e_00001,d_parent_70a3d9583554
e_00001,d_parent_570b447714e6
e_00001,d_parent_1ae5c38a7247
e_00108,d_parent_59f2e1ec966d
e_00096,d_parent_434b69eb2835
e_00001,d_parent_9c00201e5a2d
e_00001,d_parent_1c558cb8c307
e_00096,d_parent_e712818147a0
e_00237,d_parent_d9b8befc5efb
e_00237,d_parent_7bb77dd4d313
e_00096,d_parent_c81f3ec3f333
e_00096,d_parent_ee7bfecb6798
e_00238,d_parent_474d3448c29c
e_00096,d_parent_2fe7c537bd34
e_00012,d_parent_d603ea901739
e_00001,d_parent_d42de0355fe0
e_00239,d_parent_586f1f02ee75
e_00096,d_parent_2b2797af1264
e_00132,d_parent_5ad891baf497
e_00240,d_parent_45109b6c8acf
e_00001,d_parent_72f6b607ad97
e_00096,d_parent_756d5d084858
e_00096,d_parent_85849de64584
e_00051,d_parent_24c689b6681d
e_00001,d_parent_50ab1cc3e880
e_00132,d_parent_ee8a5c04a63a
e_00132,d_parent_0b955fd9c004
e_00241,d_parent_8d8d8379addc
e_00242,d_parent_cabd5554c3a6
e_00001,d_parent_2a878888b341
e_00243,d_parent_624afdf8a84d
e_00132,d_parent_e8535e9641df
e_00244,d_parent_03aec832b5bb
e_00245,d_parent_93733abebe00
e_00132,d_parent_5116da3bf156
e_00096,d_parent_e97d1ee8475b
e_00096,d_parent_481198b70b54
e_00001,d_parent_ca5d38fb58da
e_00132,d_parent_9cf1c9debe50
e_00001,d_parent_1404861a3726
e_00096,d_parent_8d8866a6e010
e_00096,d_parent_5f261e1f9ccd
e_00051,d_parent_3ce8a07b56da
e_00096,d_parent_690cb98f3929
e_00246,d_parent_d7a5688d927c
e_00096,d_parent_6d085096b799
e_00096,d_parent_d047b7bdc253
e_00051,d_parent_493ee2c5f37b
e_00247,d_parent_51ddebed2225
e_00247,d_parent_b081a9ec042c
e_00096,d_parent_38410ff4c383
e_00075,d_parent_80a8e4bcf46c
e_00248,d_parent_cb3d6c7c7c48
e_00096,d_parent_4748ed4c2d30
e_00075,d_parent_1922a7d84fea
e_00096,d_parent_49b9eeacae57
e_00001,d_parent_54059dcd3c29
e_00096,d_parent_3e8b743c2e2b
e_00249,d_parent_42b6c9a9b778
e_00132,d_parent_d86c8be03b04
e_00096,d_parent_55e087b55618
e_00096,d_parent_bc099eb4eaa3
e_00132,d_parent_e146904b5c84
e_00001,d_parent_513ce2f7e7a7
e_00001,d_parent_ef6507bf377e
e_00249,d_parent_4bc9e5d853a0
e_00249,d_parent_8c2dc1523c77
e_00132,d_parent_54052ef43417
e_00250,d_parent_728af0f73087
e_00251,d_parent_72f8f94aea19
e_00001,d_parent_5a792cf6b45b
e_00132,d_parent_40c64a3b2d0c
e_00075,d_parent_0cca925674d7
e_00252,d_parent_f9bc86ad6f08
e_00001,d_parent_531e3555708f
e_00096,d_parent_5e445e2f6827
e_00253,d_parent_4044d34f9d85
e_00254,d_parent_9e5be9cdfe6a
e_00254,d_parent_13e6621d042f
e_00255,d_parent_b62a53a648c9
e_00096,d_parent_fed90ddb9170
e_00096,d_parent_2bafbf686d5a
e_00096,d_parent_7793752b69b5
e_00001,d_parent_ed4a165f1e92
e_00012,d_parent_20708f025f6c
e_00001,d_parent_e8b0589e0511
e_00012,d_parent_2a0b9547cc6d
e_00012,d_parent_f020d161564f
e_00012,d_parent_6cc145829147
e_00096,d_parent_3a2d2b644ee6
e_00001,d_parent_f2bb6f8753d5
e_00012,d_parent_943b5940a2b7
e_00001,d_parent_548d593da608
e_00001,d_parent_281c7c5eecd7
e_00001,d_parent_a0f3a06e7aca
e_00096,d_parent_20baefa7796e
e_00256,d_parent_416ee9c39fcf
e_00096,d_parent_12d6547e88d1
e_00076,d_parent_a92742189673
e_00001,d_parent_b72c55da2967
